Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age,Attrition
Area Sales Manager,WBL,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,KY,Female,Asian,Divorced,Fully Meets,4,5,4,5,Technical Skills,Internal,Completed,3,344.44,24,0
Area Sales Manager,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,TX,Male,Asian,Married,Fully Meets,1,2,1,1,Leadership Development,Internal,Incomplete,3,975.46,62,0
Area Sales Manager,SVG,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,CO,Male,Asian,Divorced,Fully Meets,5,2,3,5,Technical Skills,Internal,Incomplete,1,570.42,34,0
Area Sales Manager,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,IN,Male,Hispanic,Widowed,Fully Meets,4,4,1,1,Technical Skills,Internal,Failed,3,391.31,78,0
Area Sales Manager,MSC,Active,Contract,Zone B,Part-Time,Sales,General - Eng,CA,Female,Hispanic,Married,Fully Meets,2,4,2,5,Customer Service,Internal,Completed,3,826.58,52,0
Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Aerial,CA,Male,Hispanic,Widowed,Fully Meets,2,1,3,4,Leadership Development,External,Incomplete,4,930.69,70,0
Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,ND,Female,Black,Divorced,Fully Meets,1,5,1,1,Customer Service,External,Incomplete,1,607.93,57,0
Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,KY,Female,Asian,Divorced,Fully Meets,4,1,3,3,Communication Skills,Internal,Incomplete,5,723.5,70,0
Area Sales Manager,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,KY,Female,Other,Single,Fully Meets,1,1,5,4,Communication Skills,External,Completed,5,394.04,37,0
Area Sales Manager,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,KY,Female,Other,Single,Fully Meets,2,3,2,3,Leadership Development,External,Incomplete,2,451.18,43,0
Area Sales Manager,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,TX,Male,White,Widowed,Fully Meets,4,1,5,3,Customer Service,Internal,Passed,2,360.5,74,0
Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Aerial,CO,Male,Black,Married,Fully Meets,1,1,3,2,Project Management,Internal,Failed,4,396.28,46,0
Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,CO,Male,Hispanic,Widowed,Fully Meets,2,5,2,2,Technical Skills,External,Passed,1,465.96,31,0
Area Sales Manager,SVG,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,IN,Male,Hispanic,Single,Fully Meets,2,2,3,4,Project Management,Internal,Incomplete,1,515.56,26,0
Area Sales Manager,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,CA,Female,Black,Widowed,Fully Meets,2,1,2,5,Customer Service,External,Passed,2,496.85,26,0
Area Sales Manager,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,CA,Male,Black,Divorced,Fully Meets,1,2,4,4,Leadership Development,External,Completed,3,629.46,80,0
Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,OR,Female,Black,Widowed,Fully Meets,1,2,2,5,Technical Skills,Internal,Failed,2,771.61,55,0
Area Sales Manager,MSC,Active,Contract,Zone B,Full-Time,Sales,General - Sga,ND,Male,White,Married,Fully Meets,2,2,5,2,Leadership Development,Internal,Completed,4,418.4,55,0
Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,KY,Female,Asian,Single,Fully Meets,4,4,3,2,Customer Service,Internal,Completed,3,900.96,59,0
Area Sales Manager,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,KY,Female,Black,Single,Fully Meets,4,1,5,1,Technical Skills,External,Incomplete,1,936.96,24,0
Area Sales Manager,WBL,Active,Contract,Zone C,Temporary,Sales,General - Sga,GA,Female,Black,Single,Fully Meets,2,1,2,4,Leadership Development,External,Passed,5,269.03,33,0
Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,CO,Male,Hispanic,Single,Fully Meets,5,3,3,4,Project Management,External,Failed,4,234.77,36,0
Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Splicing,CO,Male,White,Widowed,Exceeds,4,2,2,3,Communication Skills,External,Incomplete,2,903.46,37,0
Area Sales Manager,SVG,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,IN,Male,Black,Married,Exceeds,2,1,3,3,Customer Service,External,Passed,4,380.3,29,0
Area Sales Manager,EW,Active,Contract,Zone A,Temporary,Sales,Field Operations,IN,Male,White,Married,Needs Improvement,1,2,3,4,Project Management,Internal,Failed,4,511.42,75,0
Area Sales Manager,MSC,Active,Part-Time,Zone A,Temporary,Sales,General - Con,CA,Female,Black,Single,Fully Meets,2,4,5,5,Communication Skills,External,Passed,4,171.03,39,0
Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,Aerial,CA,Male,Asian,Single,Fully Meets,2,3,5,3,Leadership Development,External,Passed,3,842.93,23,0
Area Sales Manager,EW,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,OR,Female,Black,Widowed,Fully Meets,1,2,5,2,Customer Service,External,Incomplete,5,581.12,79,0
Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,ND,Male,Hispanic,Widowed,Exceeds,1,2,5,5,Project Management,External,Passed,4,426.45,41,0
Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Project Management - Eng,KY,Female,Other,Married,Needs Improvement,2,2,4,2,Technical Skills,External,Failed,4,805.05,75,0
Area Sales Manager,WBL,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,KY,Female,White,Single,Fully Meets,1,5,5,3,Leadership Development,External,Passed,3,368.8,57,0
Area Sales Manager,TNS,Active,Full-Time,Zone C,Full-Time,Sales,Field Operations,GA,Female,Black,Divorced,Fully Meets,2,1,4,1,Communication Skills,External,Failed,5,788.67,63,0
Area Sales Manager,PYZ,Active,Part-Time,Zone C,Part-Time,Sales,Engineers,TX,Male,Black,Married,Needs Improvement,4,4,4,3,Communication Skills,External,Incomplete,1,570.13,64,0
Area Sales Manager,PL,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,CO,Male,White,Single,Needs Improvement,1,3,4,2,Leadership Development,External,Failed,4,480.87,78,0
Area Sales Manager,NEL,Active,Contract,Zone C,Temporary,Sales,Field Operations,CO,Male,Black,Divorced,Fully Meets,4,4,2,4,Project Management,Internal,Incomplete,5,689.48,71,0
Area Sales Manager,MSC,Active,Part-Time,Zone C,Temporary,Sales,People Services,IN,Male,Asian,Widowed,Fully Meets,1,2,1,2,Project Management,Internal,Completed,4,283.33,61,0
Area Sales Manager,EW,Active,Full-Time,Zone C,Temporary,Sales,General - Eng,IN,Female,Hispanic,Widowed,Fully Meets,4,2,5,1,Leadership Development,External,Passed,4,566.12,35,0
Area Sales Manager,CCDR,Active,Full-Time,Zone B,Temporary,Sales,Wireline Construction,CA,Male,White,Single,Exceeds,2,2,2,3,Customer Service,Internal,Incomplete,1,513.92,58,0
Area Sales Manager,BPC,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,MA,Male,Other,Single,Fully Meets,2,4,5,2,Project Management,External,Failed,1,210.38,59,0
Production Technician I,MSC,Active,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),MA,Female,Black,Single,Fully Meets,1,2,5,3,Technical Skills,Internal,Completed,1,941.54,59,0
Production Technician I,NEL,Active,Part-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Male,White,Single,Fully Meets,2,3,2,1,Project Management,External,Failed,2,959.81,28,0
Production Technician I,MSC,Active,Contract,Zone C,Full-Time,Production       ,Field Operations,MA,Female,Asian,Divorced,Exceeds,4,2,4,5,Technical Skills,External,Passed,1,738.92,68,0
Production Technician II,BPC,Active,Part-Time,Zone C,Temporary,Production       ,General - Con,MA,Female,White,Married,Fully Meets,5,2,1,5,Technical Skills,External,Failed,5,445.04,64,0
Production Technician I,WBL,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,MA,Male,Black,Widowed,PIP,4,4,1,3,Leadership Development,External,Passed,4,886.9,73,0
Production Technician II,SVG,Terminated,Full-Time,Zone C,Temporary,Production       ,Aerial,MA,Female,White,Divorced,Fully Meets,1,4,4,3,Technical Skills,External,Incomplete,4,106.14,25,1
Production Technician I,WBL,Active,Part-Time,Zone B,Full-Time,Production       ,General - Con,MA,Male,Other,Divorced,Fully Meets,4,5,5,5,Project Management,External,Passed,4,684.35,53,0
Production Technician II,PL,Active,Part-Time,Zone A,Part-Time,Production       ,Aerial,MA,Male,Black,Single,Fully Meets,2,1,2,3,Communication Skills,Internal,Failed,2,578.81,58,0
Production Technician I,EW,Active,Full-Time,Zone C,Full-Time,Production       ,General - Sga,MA,Male,Asian,Widowed,Fully Meets,4,2,3,2,Customer Service,Internal,Completed,5,764.51,57,0
Production Technician I,EW,Terminated,Full-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Male,Asian,Divorced,Fully Meets,2,2,4,1,Project Management,Internal,Incomplete,2,201.76,49,1
Production Technician I,MSC,Active,Part-Time,Zone B,Temporary,Production       ,Catv,MA,Female,Hispanic,Divorced,Fully Meets,2,1,3,5,Technical Skills,External,Incomplete,4,730.04,24,0
Production Technician II,TNS,Terminated,Full-Time,Zone B,Temporary,Production       ,Fielders,MA,Female,Asian,Married,Fully Meets,1,2,5,3,Project Management,External,Failed,2,796.88,45,1
Production Technician I,NEL,Terminated,Part-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Female,White,Widowed,Fully Meets,4,4,1,5,Project Management,External,Completed,3,834.44,75,1
Production Technician I,WBL,Active,Contract,Zone A,Part-Time,Production       ,Fielders,MA,Male,White,Single,Fully Meets,5,5,5,5,Leadership Development,Internal,Failed,5,569.17,25,0
Production Technician I,NEL,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,MA,Female,Asian,Divorced,Exceeds,4,4,1,1,Customer Service,Internal,Completed,4,386.07,37,0
Production Technician I,MSC,Terminated,Part-Time,Zone A,Temporary,Production       ,Field Operations,MA,Male,Hispanic,Single,Exceeds,5,5,1,5,Technical Skills,Internal,Incomplete,3,583.21,34,1
Production Technician II,PL,Active,Full-Time,Zone B,Full-Time,Production       ,Engineers,MA,Female,Asian,Single,Exceeds,4,2,3,3,Project Management,External,Completed,5,398.65,29,0
Production Technician I,BPC,Active,Part-Time,Zone C,Temporary,Production       ,Field Operations,MA,Male,White,Widowed,Fully Meets,4,5,4,5,Communication Skills,Internal,Passed,5,931.46,62,0
Production Technician I,WBL,Active,Full-Time,Zone A,Temporary,Production       ,Field Operations,MA,Male,Hispanic,Married,Exceeds,2,1,4,2,Project Management,External,Completed,5,115.06,62,0
Production Technician II,BPC,Active,Full-Time,Zone C,Part-Time,Production       ,Field Operations,MA,Female,Asian,Widowed,Needs Improvement,4,5,3,3,Communication Skills,External,Failed,2,199.82,75,0
Production Technician I,PYZ,Active,Full-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Male,Other,Married,Fully Meets,4,2,4,3,Communication Skills,Internal,Failed,5,940.2,77,0
Production Technician I,SVG,Active,Full-Time,Zone A,Part-Time,Production       ,Wireline Construction,MA,Male,Other,Divorced,Fully Meets,2,3,4,4,Communication Skills,External,Completed,1,122.07,77,0
Production Technician I,TNS,Active,Part-Time,Zone B,Part-Time,Production       ,Yard (Material Handling),MA,Male,Asian,Widowed,Fully Meets,4,2,2,5,Communication Skills,Internal,Completed,4,875.02,52,0
Production Technician I,WBL,Active,Full-Time,Zone C,Temporary,Production       ,Field Operations,MA,Female,White,Married,Needs Improvement,4,4,1,4,Communication Skills,Internal,Incomplete,4,116.4,63,0
Production Technician I,BPC,Active,Contract,Zone C,Full-Time,Production       ,Field Operations,MA,Female,Other,Married,Fully Meets,4,2,2,5,Technical Skills,External,Passed,5,341.78,33,0
Production Technician I,CCDR,Active,Full-Time,Zone A,Full-Time,Production       ,Yard (Material Handling),MA,Female,Black,Divorced,Fully Meets,4,1,2,3,Communication Skills,Internal,Completed,4,107.48,29,0
Production Technician I,EW,Active,Part-Time,Zone B,Full-Time,Production       ,People Services,MA,Female,Hispanic,Single,Fully Meets,2,4,2,4,Communication Skills,External,Completed,1,502.7,19,0
Production Technician I,MSC,Active,Full-Time,Zone B,Temporary,Production       ,General - Eng,MA,Male,Other,Divorced,Fully Meets,2,1,2,2,Leadership Development,External,Completed,5,570.04,44,0
Production Technician I,NEL,Active,Full-Time,Zone C,Full-Time,Production       ,Shop (Fleet),MA,Male,Black,Widowed,Fully Meets,2,4,2,1,Communication Skills,External,Passed,1,538.83,47,0
Production Technician I,PL,Active,Contract,Zone B,Temporary,Production       ,Field Operations,MA,Male,White,Single,Fully Meets,1,2,3,2,Communication Skills,Internal,Incomplete,4,881.8,68,0
Production Technician I,WBL,Active,Contract,Zone A,Full-Time,Production       ,General - Con,MA,Male,Asian,Married,Fully Meets,1,4,4,3,Project Management,Internal,Incomplete,3,258.07,71,0
Production Technician I,PYZ,Active,Part-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Male,Black,Married,Needs Improvement,1,1,5,1,Leadership Development,Internal,Passed,5,472.64,50,0
Production Technician I,WBL,Active,Contract,Zone A,Temporary,Production       ,Engineers,MA,Male,Other,Divorced,Fully Meets,1,2,3,1,Technical Skills,External,Passed,2,252.88,68,0
